Quality	Count	sample
19	482.0	BC9_run1
20	581.0	BC9_run1
21	999.0	BC9_run1
22	1227.0	BC9_run1
23	1304.0	BC9_run1
24	1366.0	BC9_run1
25	1782.0	BC9_run1
26	1866.0	BC9_run1
27	2100.0	BC9_run1
28	2416.0	BC9_run1
29	2837.0	BC9_run1
30	3144.0	BC9_run1
31	3867.0	BC9_run1
32	5525.0	BC9_run1
33	8561.0	BC9_run1
34	14564.0	BC9_run1
35	26179.0	BC9_run1
36	58275.0	BC9_run1
37	188927.0	BC9_run1
38	539898.0	BC9_run1
39	1460236.0	BC9_run1
11	1.0	BC12_run2
12	2.0	BC12_run2
13	1.0	BC12_run2
14	1.0	BC12_run2
15	10.0	BC12_run2
16	48.0	BC12_run2
17	67.0	BC12_run2
18	127.0	BC12_run2
19	213.0	BC12_run2
20	455.0	BC12_run2
21	741.0	BC12_run2
22	896.0	BC12_run2
23	1172.0	BC12_run2
24	1628.0	BC12_run2
25	2052.0	BC12_run2
26	2372.0	BC12_run2
27	2789.0	BC12_run2
28	2957.0	BC12_run2
29	3529.0	BC12_run2
30	4520.0	BC12_run2
31	5733.0	BC12_run2
32	8523.0	BC12_run2
33	7764.0	BC12_run2
34	8681.0	BC12_run2
35	11016.0	BC12_run2
36	17242.0	BC12_run2
37	38564.0	BC12_run2
38	192732.0	BC12_run2
39	4362152.0	BC12_run2
4	2.0	BC5_run2
5	0.0	BC5_run2
6	0.0	BC5_run2
7	0.0	BC5_run2
8	1.0	BC5_run2
9	4.0	BC5_run2
10	2.0	BC5_run2
11	6.0	BC5_run2
12	0.0	BC5_run2
13	1.0	BC5_run2
14	2.0	BC5_run2
15	16.0	BC5_run2
16	74.0	BC5_run2
17	123.0	BC5_run2
18	212.0	BC5_run2
19	430.0	BC5_run2
20	796.0	BC5_run2
21	1250.0	BC5_run2
22	1377.0	BC5_run2
23	1656.0	BC5_run2
24	2520.0	BC5_run2
25	3878.0	BC5_run2
26	5202.0	BC5_run2
27	5697.0	BC5_run2
28	5926.0	BC5_run2
29	6502.0	BC5_run2
30	7534.0	BC5_run2
31	8420.0	BC5_run2
32	11244.0	BC5_run2
33	10952.0	BC5_run2
34	12579.0	BC5_run2
35	16428.0	BC5_run2
36	24440.0	BC5_run2
37	48365.0	BC5_run2
38	213641.0	BC5_run2
39	3981534.0	BC5_run2
6	1.0	BC16_run2
7	2.0	BC16_run2
8	0.0	BC16_run2
9	0.0	BC16_run2
10	1.0	BC16_run2
11	2.0	BC16_run2
12	6.0	BC16_run2
13	7.0	BC16_run2
14	5.0	BC16_run2
15	17.0	BC16_run2
16	86.0	BC16_run2
17	125.0	BC16_run2
18	191.0	BC16_run2
19	364.0	BC16_run2
20	571.0	BC16_run2
21	963.0	BC16_run2
22	1095.0	BC16_run2
23	1544.0	BC16_run2
24	2391.0	BC16_run2
25	2983.0	BC16_run2
26	3412.0	BC16_run2
27	3639.0	BC16_run2
28	3892.0	BC16_run2
29	4486.0	BC16_run2
30	6016.0	BC16_run2
31	7623.0	BC16_run2
32	12213.0	BC16_run2
33	10505.0	BC16_run2
34	12328.0	BC16_run2
35	16250.0	BC16_run2
36	26212.0	BC16_run2
37	56897.0	BC16_run2
38	280522.0	BC16_run2
39	8410648.0	BC16_run2
3	1.0	BC9_run2
4	0.0	BC9_run2
5	0.0	BC9_run2
6	1.0	BC9_run2
7	0.0	BC9_run2
8	0.0	BC9_run2
9	0.0	BC9_run2
10	0.0	BC9_run2
11	3.0	BC9_run2
12	23.0	BC9_run2
13	16.0	BC9_run2
14	23.0	BC9_run2
