GC_Content	Count	sample
82	673.0	BC7_run2
83	198.5	BC7_run2
84	98.5	BC7_run2
85	62.5	BC7_run2
86	32.0	BC7_run2
87	18.5	BC7_run2
88	6.5	BC7_run2
89	3.0	BC7_run2
90	2.0	BC7_run2
91	4.0	BC7_run2
92	7.0	BC7_run2
93	6.0	BC7_run2
94	4.0	BC7_run2
95	3.5	BC7_run2
96	3.0	BC7_run2
97	2.5	BC7_run2
98	3.5	BC7_run2
99	4.0	BC7_run2
100	4.0	BC7_run2
0	1.0	BC8_run3
1	0.5	BC8_run3
2	3.5	BC8_run3
3	7.0	BC8_run3
4	8.0	BC8_run3
5	13.5	BC8_run3
6	24.5	BC8_run3
7	36.5	BC8_run3
8	43.0	BC8_run3
9	55.0	BC8_run3
10	71.5	BC8_run3
11	114.5	BC8_run3
12	170.5	BC8_run3
13	254.5	BC8_run3
14	446.5	BC8_run3
15	770.5	BC8_run3
16	1092.5	BC8_run3
17	1899.0	BC8_run3
18	3447.0	BC8_run3
19	6134.0	BC8_run3
20	8434.0	BC8_run3
21	11165.5	BC8_run3
22	16862.0	BC8_run3
23	24831.5	BC8_run3
24	30099.0	BC8_run3
25	37386.0	BC8_run3
26	49857.5	BC8_run3
27	63945.0	BC8_run3
28	73405.5	BC8_run3
29	83870.5	BC8_run3
30	103055.5	BC8_run3
31	124804.5	BC8_run3
32	136978.0	BC8_run3
33	151849.5	BC8_run3
34	180579.0	BC8_run3
35	208767.0	BC8_run3
36	222491.5	BC8_run3
37	238142.5	BC8_run3
38	268397.5	BC8_run3
39	295149.0	BC8_run3
40	308724.5	BC8_run3
41	332802.0	BC8_run3
42	386467.5	BC8_run3
43	422801.0	BC8_run3
44	426179.0	BC8_run3
45	435788.5	BC8_run3
46	457730.5	BC8_run3
47	477982.0	BC8_run3
48	488912.5	BC8_run3
49	508960.0	BC8_run3
50	554136.5	BC8_run3
51	606008.0	BC8_run3
52	627887.0	BC8_run3
53	580880.5	BC8_run3
54	532906.5	BC8_run3
55	506261.0	BC8_run3
56	486409.5	BC8_run3
57	465498.5	BC8_run3
58	408041.5	BC8_run3
59	375409.5	BC8_run3
60	374854.0	BC8_run3
61	340257.5	BC8_run3
62	290926.0	BC8_run3
63	267634.5	BC8_run3
64	260703.5	BC8_run3
65	211248.0	BC8_run3
66	132073.0	BC8_run3
67	99484.0	BC8_run3
68	97276.0	BC8_run3
69	75212.5	BC8_run3
70	45496.0	BC8_run3
71	34846.5	BC8_run3
72	31914.5	BC8_run3
73	30041.0	BC8_run3
