Length	Count	sample
66	37370.0	BC10_run3
68	173162.0	BC10_run3
70	313573.0	BC10_run3
72	910091.0	BC10_run3
74	12612636.0	BC10_run3
24	2849.0	BC9_run1
26	3375.0	BC9_run1
28	2948.0	BC9_run1
30	1567.0	BC9_run1
32	2851.0	BC9_run1
34	1209.0	BC9_run1
36	2569.0	BC9_run1
38	1585.0	BC9_run1
40	1570.0	BC9_run1
42	1366.0	BC9_run1
44	1693.0	BC9_run1
46	4138.0	BC9_run1
48	2282.0	BC9_run1
50	12998.0	BC9_run1
52	455612.0	BC9_run1
54	4285.0	BC9_run1
56	24638.0	BC9_run1
58	451931.0	BC9_run1
60	3633.0	BC9_run1
62	5297.0	BC9_run1
64	2576.0	BC9_run1
66	1900.0	BC9_run1
68	10290.0	BC9_run1
70	28122.0	BC9_run1
72	89735.0	BC9_run1
74	1206001.0	BC9_run1
24	1505.0	BC12_run2
26	2562.0	BC12_run2
28	2145.0	BC12_run2
30	3019.0	BC12_run2
32	3403.0	BC12_run2
34	2852.0	BC12_run2
36	2976.0	BC12_run2
38	3197.0	BC12_run2
40	2103.0	BC12_run2
42	2199.0	BC12_run2
44	2584.0	BC12_run2
46	3412.0	BC12_run2
48	2760.0	BC12_run2
50	3113.0	BC12_run2
52	3571.0	BC12_run2
54	4262.0	BC12_run2
56	4117.0	BC12_run2
58	4373.0	BC12_run2
60	4675.0	BC12_run2
62	5331.0	BC12_run2
64	11896.0	BC12_run2
66	11956.0	BC12_run2
68	57233.0	BC12_run2
70	105744.0	BC12_run2
72	309275.0	BC12_run2
74	4115725.0	BC12_run2
24	17941.0	BC5_run2
26	20827.0	BC5_run2
28	22381.0	BC5_run2
30	18168.0	BC5_run2
32	18198.0	BC5_run2
34	14155.0	BC5_run2
36	14309.0	BC5_run2
38	16678.0	BC5_run2
40	6826.0	BC5_run2
42	5874.0	BC5_run2
44	7420.0	BC5_run2
46	8381.0	BC5_run2
48	8208.0	BC5_run2
50	10101.0	BC5_run2
52	17281.0	BC5_run2
54	12551.0	BC5_run2
56	10270.0	BC5_run2
58	13122.0	BC5_run2
60	6140.0	BC5_run2
62	6735.0	BC5_run2
64	9820.0	BC5_run2
66	12650.0	BC5_run2
68	40944.0	BC5_run2
70	96471.0	BC5_run2
72	261503.0	BC5_run2
74	3693860.0	BC5_run2
24	1180.0	BC16_run2
26	3015.0	BC16_run2
28	3050.0	BC16_run2
30	3912.0	BC16_run2
32	4795.0	BC16_run2
34	6954.0	BC16_run2
36	9908.0	BC16_run2
38	14645.0	BC16_run2
40	15979.0	BC16_run2
42	20516.0	BC16_run2
44	28577.0	BC16_run2
46	36825.0	BC16_run2
48	42093.0	BC16_run2
50	52682.0	BC16_run2
52	63058.0	BC16_run2
54	70501.0	BC16_run2
56	83721.0	BC16_run2
58	87116.0	BC16_run2
60	93834.0	BC16_run2
62	111542.0	BC16_run2
64	124858.0	BC16_run2
66	136729.0	BC16_run2
68	213442.0	BC16_run2
70	307680.0	BC16_run2
72	628375.0	BC16_run2
74	6700010.0	BC16_run2
24	2779.0	BC9_run2
26	3047.0	BC9_run2
28	2656.0	BC9_run2
30	1787.0	BC9_run2
32	2977.0	BC9_run2
34	1136.0	BC9_run2
36	3036.0	BC9_run2
38	1683.0	BC9_run2
40	1798.0	BC9_run2
42	1336.0	BC9_run2
44	1997.0	BC9_run2
46	5012.0	BC9_run2
48	2474.0	BC9_run2
50	13665.0	BC9_run2
52	502528.0	BC9_run2
54	4779.0	BC9_run2
56	26575.0	BC9_run2
58	496523.0	BC9_run2
60	4039.0	BC9_run2
62	5368.0	BC9_run2
64	2717.0	BC9_run2
66	2005.0	BC9_run2
68	11885.0	BC9_run2
70	33264.0	BC9_run2
72	107016.0	BC9_run2
74	1455997.0	BC9_run2
24	1762.0	BC8_run1
26	3287.0	BC8_run1
28	2818.0	BC8_run1
30	2616.0	BC8_run1
32	2687.0	BC8_run1
34	2355.0	BC8_run1
36	2573.0	BC8_run1
38	2761.0	BC8_run1
40	1711.0	BC8_run1
42	1797.0	BC8_run1
44	1936.0	BC8_run1
46	1956.0	BC8_run1
48	1942.0	BC8_run1
50	2118.0	BC8_run1
52	2437.0	BC8_run1
54	2729.0	BC8_run1
56	2487.0	BC8_run1
58	2741.0	BC8_run1
60	2918.0	BC8_run1
62	3336.0	BC8_run1
64	9427.0	BC8_run1
66	9923.0	BC8_run1
